Query,Classification,Intensity
"I'm new to weightlifting and want to join a beginner's group, is there one available?",Athletics,1
"Hoping to join a recreational soccer team, any leagues open to students?",Athletics,1
"Exploring options for tennis partners, any resources for finding other players?",Athletics,1
"Want to try out rock climbing, where's the best spot near campus?",Athletics,1
"Searching for a volleyball league that's beginner-friendly, any ideas?",Athletics,1
"Interested in learning to swim, are there student swim clubs?",Athletics,1
"Looking for fellow students to jog with in the mornings, any running groups around?",Athletics,1
"Seeking guidance on starting a cycling group, any advice on campus clubs?",Athletics,1
"Exploring ways to improve at disc golf, where's a good course nearby?",Athletics,1
"Want to play pickup basketball, any regular games happening on campus?",Athletics,1
"Searching for a badminton partner or club, any active groups at the college?",Athletics,1
"Interested in joining a hiking club, any nature-loving groups at the school?",Athletics,1
"Hoping to find a student-friendly rowing club, any resources available?",Athletics,1
"Looking to start a mixed martial arts training group, any fellow enthusiasts?",Athletics,1
"Interested in joining a table tennis club, where can I find one on campus?",Athletics,1
"Seeking info on joining a kickboxing class, any classes tailored for students?",Athletics,1
"Want to join a golf league for beginners, any opportunities at the college?",Athletics,1
"Exploring opportunities to learn parkour, any groups or classes nearby?",Athletics,1
"Hoping to find a student organization for skateboarding, any leads?",Athletics,1
"Interested in joining a fencing club, any groups on campus I can join?",Athletics,1
"Seeking a student-friendly martial arts dojo, any recommendations?",Athletics,1
"Looking to start a student baseball team, any resources to get started?",Athletics,1
"Interested in finding a running buddy, any fellow joggers at the college?",Athletics,1
"Hoping to start a student basketball tournament, any tips on organizing?",Athletics,1
"Looking for fellow students to practice yoga with, any yoga clubs at the school?",Athletics,1
"Interested in finding a student group for park sports like frisbee or volleyball, any suggestions?",Athletics,1
"Seeking info on joining a student dance group focused on athletic styles, any available?",Athletics,1
"Want to try out for the college's track and field team, how can I get involved?",Athletics,1
"Exploring options for a student sports photography club, any existing groups?",Athletics,1
"Interested in forming a student sports trivia night, any interest or ideas?",Athletics,1
I am looking for a college intramural flag football team to join this semester,Athletics,1
Anyone know of any running groups on campus for beginners? Athletics,Athletics,1
Thinking of trying out rock climbing - is there a club that offers lessons?,Athletics,1
Looking for a frisbee throwing group to hang out with on the weekends,Athletics,1
Does the college offer any self-defense classes for beginners? Athletics,Athletics,1
Feeling competitive! Where can I find a table tennis club to play against others?,Athletics,1
Always down for a pick-up soccer game. Anyone know of any regular groups that play?,Athletics,1
Is there a rollerblading club on campus? I'd love to learn alongside others,Athletics,1
Interested in joining a hiking group to explore the trails near campus,Athletics,1
Looking for a casual volleyball team to play with at the gym,Athletics,1
Want to improve my badminton skills - are there any student groups that play?,Athletics,1
Never tried kayaking before but would love to join a beginner's trip!,Athletics,1
Looking for a low-pressure yoga class on campus to unwind after classes,Athletics,1
Is there a martial arts club that offers classes in Muay Thai?,Athletics,1
Feeling the itch to get back into swimming - is there a lap swimming group on campus?,Athletics,1
Anyone interested in forming a casual beach volleyball team for the summer?,Athletics,1
Want to explore disc golf - is there a club that organizes outings to courses?,Athletics,1
Looking for a group to go bowling with - anyone know of a bowling league for students?,Athletics,1
Is there a dance club on campus that offers beginner classes in hip-hop?,Athletics,1
Feeling motivated! Looking for a running buddy to train for a 5k with this semester,Athletics,1
Interested in trying out ultimate frisbee - are there any introductory games for beginners?,Athletics,1
Does the college offer any fitness classes focused on core strength training?,Athletics,1
Want to find a tennis partner to play with on the weekends - anyone up for a match?,Athletics,1
Looking for a group to go on bike rides with to explore the surrounding area,Athletics,1
Anyone interested in joining a casual badminton group on campus?,Athletics,1
Feeling adventurous - is there a club that organizes rock climbing trips outdoors?,Athletics,1
Interested in learning how to play golf - are there any lessons available on campus?,Athletics,1
Want to improve my flexibility - is there a student yoga club that offers gentle yoga classes?,Athletics,1
Looking for a group to go whitewater rafting with this summer - any recommendations?,Athletics,1
Does the college gym offer any group fitness classes focused on HIIT workouts?,Athletics,1
Feeling stressed? Anyone interested in joining a meditation group on campus?,Athletics,1
I'm keen on finding a weightlifting crew on campus. Any recommendations?,Athletics,1
Playing basketball with friends is my jam! Where can I join a pickup game?,Athletics,1
"Archery seems intriguing, but I'm a newbie. Is there an archery club I can join?",Athletics,1
Recently started playing spikeballâ€”any clubs or groups to help me level up?,Athletics,1
Pool is my chill-out game. Where can I find fellow pool enthusiasts?,Athletics,1
Baseball is my thing. Any low-key leagues that meet regularly?,Athletics,1
Looking for casual sports buddies on campus. Any suggestions?,Athletics,1
"As a basketball enthusiast, are there upcoming events related to the sport?",Athletics,1
I'd love to connect with fellow lifters. Any weightlifting meetups around?,Athletics,1
Seeking a friendly basketball crew. Where can I shoot some hoops?,Athletics,1
Archery has caught my eye. Is there a club for beginners like me?,Athletics,1
New to spikeballâ€”any groups to help me up my game?,Athletics,1
Pool is my downtime activity. Where can I find fellow players?,Athletics,1
Baseball fan here. Any laid-back leagues for regular play?,Athletics,1
Want to casually play sports with others on campus. Any leads?,Athletics,1
Big basketball fanâ€”any upcoming hoops events?,Athletics,1
Looking for a lifting community. Any suggestions for weightlifting groups?,Athletics,1
Love playing basketball with pals. Where can I join a friendly game?,Athletics,1
Archery intrigues me. Is there a beginner-friendly club?,Athletics,1
Spikeball newbieâ€”where can I find fellow enthusiasts?,Athletics,1
Pool is my thing. Any spots to play with others?,Athletics,1
Baseball loverâ€”where can I find a low-key league?,Athletics,1
Want to connect with sports buddies on campus. Any ideas?,Athletics,1
Basketball enthusiast here. Any upcoming events in the sport?,Athletics,1
Looking for weightlifting buddies. Any weightlifting meetups?,Athletics,1
Craving a game of pickup basketball. Where can I find players?,Athletics,1
Archery intrigues me. Is there a club for beginners?,Athletics,1
Spikeball newbieâ€”where can I improve my skills?,Athletics,1
Pool enthusiastâ€”where can I find fellow players?,Athletics,1
Baseball loverâ€”seeking a laid-back league. Any recommendations?,Athletics,1
Want to play sports casually on campus. Any suggestions?,Athletics,1
Big basketball fanâ€”any upcoming hoops events?,Athletics,1
"I'm seeking a competitive soccer league that fits my college schedule, any recommendations?",Athletics,2
"Interested in joining a semi-competitive volleyball league, where can I sign up?",Athletics,2
"Looking for a mixed doubles tennis league that's suitable for college players, any suggestions?",Athletics,2
"Hoping to find a semi-competitive flag football team on campus, any leagues available?",Athletics,2
I want to balance academics with my passion for basketball by joining a competitive intramural league,Athletics,2
Seeking opportunities to play in a semi-competitive ultimate frisbee league with other college students,Athletics,2
"Interested in competitive swimming clubs that cater to college athletes, where should I look?",Athletics,2
I'm a skilled badminton player looking for a challenging league to join alongside my studies,Athletics,2
"Want to join a semi-competitive softball league, any options for college students?",Athletics,2
"Looking for a college-friendly lacrosse league to join, any leads on teams I can join?",Athletics,2
"Seeking info on joining a semi-competitive track and field club, any college-level groups available?",Athletics,2
I'm interested in finding a collegiate-level cycling club for semi-competitive rides,Athletics,2
"Looking to participate in a college-level disc golf tournament, where can I find such events?",Athletics,2
"Hoping to join a semi-competitive rowing team as a college student, any opportunities?",Athletics,2
"Interested in a college rugby league, any semi-competitive options for students?",Athletics,2
"Seeking a college bowling league that's semi-competitive, any suggestions?",Athletics,2
"Want to join a college-level archery club for semi-competitive shoots, any info available?",Athletics,2
Hoping to find a college soccer team that's competitive yet accommodating to class schedules,Athletics,2
Looking for a semi-competitive basketball league with flexible practice times for students,Athletics,2
Interested in a collegiate-level swimming team that's semi-competitive and college-friendly,Athletics,2
Seeking a college-level ultimate frisbee league that's competitive but fun for students,Athletics,2
"I'm interested in joining a semi-competitive table tennis league on campus, any opportunities?",Athletics,2
Looking for a college-level badminton league that's competitive and suitable for students,Athletics,2
Interested in a collegiate-level volleyball league that's semi-competitive and student-friendly,Athletics,2
Seeking a college-level flag football team that's semi-competitive and fits with my schedule,Athletics,2
Hoping to find a college tennis league that's semi-competitive and accommodating to studies,Athletics,2
Looking to join a semi-competitive softball league that's suitable for college students,Athletics,2
Interested in a collegiate-level lacrosse team that's semi-competitive and student-oriented,Athletics,2
Seeking a college-level track and field club that's semi-competitive and welcoming to students,Athletics,2
"Hoping to join a semi-competitive cycling group on campus, any college-level clubs available?",Athletics,2
Interested in a collegiate disc golf league that's semi-competitive and open to college students,Athletics,2
Seeking a college rowing team that's semi-competitive and accessible to students,Athletics,2
Looking for a club sport that practices a few times a week but still prioritizes fun,Athletics,2
I'm in decent shape and looking for a flag football league that's competitive but welcoming,Athletics,2
Used to play volleyball competitively in high school - are there any club teams looking for players?,Athletics,2
Been training in Brazilian Jiu-Jitsu for a while - any gyms offer open rolling sessions?,Athletics,2
Looking for a soccer league that's more serious than intramurals but allows for scheduling flexibility,Athletics,2
Interested in joining a cycling group that does regular training rides,Athletics,2
Can you recommend any co-ed softball leagues for adults in the area?,Athletics,2
Enjoy weightlifting and looking for a powerlifting gym or club on campus,Athletics,2
In good shape and looking for a competitive tennis league to join,Athletics,2
Always down for a game of squash - anyone know of any courts or groups on campus?,Athletics,2
Interested in training for a marathon - is there a running group that focuses on long-distance training?,Athletics,2
Looking for a club sport that travels for competitions occasionally,Athletics,2
Have experience rock climbing and want to find a group to climb with regularly,Athletics,2
Interested in joining a lacrosse team that practices and plays competitively,Athletics,2
Been practicing Muay Thai for a few months - are there any gyms that offer sparring sessions?,Athletics,2
Looking for a competitive dance team on campus to audition for,Athletics,2
I'm a former high school athlete looking to join a competitive track and field team,Athletics,2
Interested in playing field hockey - are there any adult leagues or club teams in the area? Athletics,Athletics,2
Can you recommend any gymnastics gyms that offer adult classes for beginners? Athletics,Athletics,2
Looking for a competitive swim team that practices year-round,Athletics,2
Interested in joining a crew team - does the college offer rowing as a club sport?,Athletics,2
Been playing frisbee for a while and want to find a more competitive league or group,Athletics,2
In good shape and looking for a boxing gym that offers training classes,Athletics,2
Interested in joining a competitive cheerleading team - are there any tryouts happening soon?,Athletics,2
Can you recommend any equestrian centers that offer horseback riding lessons for adults?,Athletics,2
Looking for a competitive rugby union club to play for this season,Athletics,2
Interested in training for a triathlon - is there a triathlon club that offers coaching?,Athletics,2
Been playing volleyball for a few years and want to join a competitive beach volleyball league,Athletics,2
Can you recommend any rock climbing gyms that offer classes focused on lead climbing?,Athletics,2
Looking for a competitive fencing club to join - any recommendations in the area?,Athletics,2
Interested in joining a kendo club that practices regularly and participates in competitions,Athletics,2
Can you recommend any Krav Maga gyms that offer classes for beginners and advanced students?,Athletics,2
Looking for semi-competitive sports leagues to join. Any recommendations?,Athletics,2
Balancing class work and tennisâ€”where can I play on campus?,Athletics,2
Football is my passion. Where can I find games to play in my free time?,Athletics,2
"As a badminton coach, I'd love to connect with other players. Any clubs?",Athletics,2
Been playing basketball for a yearâ€”where can I level up my skills?,Athletics,2
Seeking semi-competitive sports leagues. Any suggestions?,Athletics,2
Love tennis but need to balance it with classes. Where can I play?,Athletics,2
Football enthusiast here. Where can I find pickup games?,Athletics,2
Badminton coach looking for fellow players. Any clubs or groups?,Athletics,2
Want to improve my basketball game. Any training opportunities?,Athletics,2
Where can I join semi-competitive sports leagues?,Athletics,2
Balancing tennis and academicsâ€”where can I play on campus?,Athletics,2
Football loverâ€”where can I find pickup games?,Athletics,2
Badminton coach seeking like-minded players. Any clubs around?,Athletics,2
Looking to enhance my basketball skills. Any training programs?,Athletics,2
Where can I find semi-competitive sports leagues?,Athletics,2
Balancing tennis and courseworkâ€”where can I play on campus?,Athletics,2
Football enthusiastâ€”where can I join pickup games?,Athletics,2
Badminton coach looking for fellow players. Any clubs or groups?,Athletics,2
Want to improve my basketball game. Any training opportunities?,Athletics,2
Seeking semi-competitive sports leagues. Any suggestions?,Athletics,2
Love tennis but need to balance it with classes. Where can I play?,Athletics,2
Football loverâ€”where can I find pickup games?,Athletics,2
Badminton coach seeking like-minded players. Any clubs around?,Athletics,2
Looking to enhance my basketball skills. Any training programs?,Athletics,2
Where can I join semi-competitive sports leagues?,Athletics,2
Balancing tennis and academicsâ€”where can I play on campus?,Athletics,2
Football enthusiastâ€”where can I find pickup games?,Athletics,2
Badminton coach looking for fellow players. Any clubs or groups?,Athletics,2
Want to improve my basketball game. Any training opportunities?,Athletics,2
Seeking semi-competitive sports leagues. Any suggestions?,Athletics,2
Love tennis but need to balance it with classes. Where can I play?,Athletics,2
Football loverâ€”where can I find pickup games?,Athletics,2
Badminton coach seeking like-minded players. Any clubs around?,Athletics,2
