Query,Classification,Intensity
Is there a professional development club for students in my major?,Professional,1
Interested in learning about professional etiquette - are there any workshops happening on campus?,Professional,1
Where can I learn about developing a resume and doing well in interviews?,Professional,1
Looking for online resources to improve my business writing skills,Professional,1
Interested in learning about different internship opportunities - are there any information sessions soon?,Professional,1
Is there a professional networking club for students in my field?,Professional,1
Curious about professional dress codes - are there any workshops on this?,Professional,1
Where can I find resources on creating a LinkedIn profile?,Professional,1
Looking for online resources to improve my public speaking skills,Professional,1
Interested in learning about career fairs - are there any upcoming ones?,Professional,1
Is there a club that helps students with career planning?,Professional,1
Are there workshops on campus for developing leadership skills?,Professional,1
Where can I learn about job shadowing opportunities?,Professional,1
Looking for resources to improve my networking skills,Professional,1
Interested in learning about different certification programs - any info sessions soon?,Professional,1
Is there a professional mentoring program for students in my major?,Professional,1
Curious about business etiquette - are there any beginner workshops?,Professional,1
Where can I find resources on writing cover letters?,Professional,1
Looking for online resources to improve my negotiation skills,Professional,1
Interested in learning about co-op programs - are there any information sessions?,Professional,1
Is there a club that helps students prepare for job interviews?,Professional,1
Are there workshops on campus for developing time management skills?,Professional,1
Where can I learn about volunteering opportunities related to my major?,Professional,1
Looking for resources to improve my professional communication skills,Professional,1
I want to learn about different religious practices and beliefs represented on campus.,Religion,1
I'm interested in exploring spiritual practices that resonate with me.,Religion,1
What what churches temples mosques are there to visit weekly?,Religion,1
I want to discover opportunities for religious exploration and discussion on campus.,Religion,1
I'm seeking guidance on where to explore my spirituality in a college setting.,Religion,1
I want to learn about different meditation practices and beliefs on campus.,Religion,1
I'm interested in exploring mindfulness practices that resonate with me.,Religion,1
What religious services or gatherings are available to attend weekly?,Religion,1
I want to discover opportunities for spiritual exploration and discussion on campus.,Religion,1
I'm seeking guidance on where to explore my spirituality in a college setting.,Religion,1
Are there any clubs that introduce various religious traditions and their practices?,Religion,1
I want to learn about interfaith dialogues and events on campus.,Religion,1
Is there a group for students who want to explore different forms of prayer?,Religion,1
Looking for opportunities to learn about world religions in a casual setting.,Religion,1
I'm curious about religious study groups that are open to beginners.,Religion,1
Are there any spiritual retreats or workshops for students new to meditation?,Religion,1
I'd like to find a club that discusses various philosophical and religious perspectives.,Religion,1
Where can I learn about different cultural religious festivals and events?,Religion,1
I'm interested in joining a group that explores holistic and spiritual wellness.,Religion,1
Are there any casual meetups for discussing religious texts and their meanings?,Religion,1
I want to know more about spiritual support groups available on campus.,Religion,1
Looking for a beginner-friendly group that explores the intersection of religion and science.,Religion,1
Is there a club that focuses on the study of ancient religious practices?,Religion,1
Where can I find information on visiting local religious sites with a student group?,Religion,1
I'm curious about joining a group that practices mindful meditation and spirituality.,Religion,1
"I want to get involved in volunteer work but I'm not sure where to start, any recommendations?",Service,1
I want to learn more about weekly volunteering opportunities available in my local area.,Service,1
What volunteer work can I do every once in a while around campus,Service,1
"I'm interested in participating in community service projects but I'm not sure where to start, any suggestions?",Service,1
"I'm new to volunteer work, what organization can get me started?",Service,1
"I want to start volunteering but don't know where to begin, any advice?",Service,1
Are there any clubs that offer information on local volunteering opportunities?,Service,1
What are some occasional volunteer activities I can do on campus?,Service,1
"Interested in joining community service projects, where can I get started?",Service,1
"I'm new to volunteering, which organizations should I look into?",Service,1
"Looking for beginner-friendly volunteer work, any recommendations?",Service,1
Are there any campus groups that focus on easy-to-join volunteer activities?,Service,1
"I'm curious about volunteer events that don't require regular commitment, any suggestions?",Service,1
Where can I find information on one-time volunteer opportunities?,Service,1
"Interested in short-term community service projects, any ideas?",Service,1
"I want to help out in the community occasionally, where can I sign up?",Service,1
Are there any volunteer organizations that welcome beginners?,Service,1
"I'm looking for ways to volunteer without a big time commitment, any advice?",Service,1
What are some simple ways to get involved in volunteer work on campus?,Service,1
Are there any clubs that organize casual volunteer meetups?,Service,1
"I'd like to do some volunteer work, but only occasionally. Any recommendations?",Service,1
Where can I find beginner volunteer opportunities near campus?,Service,1
"Are there any student groups focused on easy, low-commitment volunteer projects?",Service,1
"I want to volunteer but have a busy schedule, any flexible options?",Service,1
"Interested in helping out with community service, but only in a small capacity. Any suggestions?",Service,1
"I'm interested in joining a low-intenisty frat, something light",Social,1
What clubs are there for casually meeting up with people for games or fun,Social,1
"I just got the new GTA6 game, are there any groups of people on campus that are also playing the game?",Social,1
"Are there any social clubs that meet weekly, that are laid back ",Social,1
Considering fraternity rush and seeking a balanced frat experience without excessive commitments.,Social,1
"I'm looking for a low-key social club to join, something relaxed.",Social,1
Are there any clubs for casual meetups and board games on campus?,Social,1
"I just got the new FIFA22 game, are there any gaming groups on campus?",Social,1
Are there any weekly social clubs that are easygoing and laid-back?,Social,1
Considering joining a fraternity but want something low-key and balanced.,Social,1
"Looking for a chill social club, nothing too intense.",Social,1
Are there any clubs for casual hangouts and movie nights?,Social,1
I'm new to campus and looking for social clubs that are low-pressure.,Social,1
Want to join a social club that's easygoing and fun.,Social,1
Are there any groups for students interested in casual sports games?,Social,1
Looking for a relaxed social club for occasional meetups.,Social,1
I'm interested in joining a club for casual gatherings and conversation.,Social,1
Are there any clubs for students who enjoy outdoor activities in a laid-back environment?,Social,1
Want to find a social club for students who enjoy video games and casual hangouts.,Social,1
I'm new to campus and looking for social clubs that are beginner-friendly.,Social,1
Are there any social clubs that host low-key events like picnics or barbecues?,Social,1
"I want to join a fraternity but with a light commitment, any recommendations?",Social,1
Looking for a social club that's easy to join and has a relaxed atmosphere.,Social,1
Are there any groups for students interested in casual arts and crafts meetups?,Social,1
Interested in joining a social club for students who enjoy casual walks and hikes.,Social,1
"As an incoming freshman, I dream of creating rockets and exploring space.",STEM,1
"I just started learning about robotics, and I'm eager to gain hands-on experience.",STEM,1
I want to learn about different sectors within medicine and healthcare.,STEM,1
I'm new to blockchain technology and want to learn about investing.,STEM,1
I'm looking to explore the medical field and its various domains.,STEM,1
I'm an incoming freshman interested in exploring aerospace engineering and space exploration.,STEM,1
I just started learning about coding and I'm eager to gain hands-on experience in programming.,STEM,1
I want to learn about different fields within engineering and their applications.,STEM,1
I'm new to artificial intelligence and want to learn about its applications in various industries.,STEM,1
I'm looking to explore the field of biotechnology and its potential impact on healthcare.,STEM,1
Are there any clubs for students interested in astronomy and stargazing?,STEM,1
I'm interested in joining a robotics club to learn more about building and programming robots.,STEM,1
Is there a group for students who want to explore different branches of mathematics?,STEM,1
I'm new to data science and want to learn about its role in solving real-world problems.,STEM,1
Looking for a club that explores environmental science and sustainability efforts.,STEM,1
I'm interested in joining a chemistry club to learn more about chemical reactions and experiments.,STEM,1
Are there any clubs for students interested in physics and conducting experiments?,STEM,1
I want to explore the field of genetics and its applications in healthcare and research.,STEM,1
I'm new to computer networking and want to learn about its fundamentals.,STEM,1
Interested in joining a club that explores the intersections of technology and social impact.,STEM,1
Are there any clubs for students interested in exploring renewable energy technologies?,STEM,1
I'm curious about the field of neuroscience and its implications for understanding the brain.,STEM,1
I want to learn about different branches of engineering and their real-world applications.,STEM,1
Looking for a club that focuses on exploring innovations in the field of nanotechnology.,STEM,1
I'm new to bioinformatics and want to learn about its applications in biology and genetics.,STEM,1
I want to explore dance beyond the basics. Any contemporary or ballroom dance classes available?,Arts,2
"I want to join a club that focuses on art history and museum visits, where can I get involved?",Arts,2
I was a journalist for my school newspaper and I still want to write. Is there a student newspaper or magazine I can contribute to?,Arts,2
"I'm interested in exploring digital art and graphic design, are there any clubs that focus on Adobe software?",Arts,2
I'm looking for a club that organizes theater outings and discussions about plays,Arts,2
"I want to join a contemporary dance class, any recommendations?",Arts,2
"Looking for a club focused on art history and museum visits, where can I join?",Arts,2
"Interested in contributing to a student newspaper or magazine, any opportunities?",Arts,2
Where can I find a club that specializes in Adobe software for digital art?,Arts,2
"Looking for a club that arranges theater outings and discussions about plays, any suggestions?",Arts,2
Are there any advanced-level dance classes available for students?,Arts,2
"Interested in joining an art appreciation club, where can I sign up?",Arts,2
"I want to get involved in a creative writing group, any options available?",Arts,2
Looking for a club that focuses on advanced techniques in painting and drawing.,Arts,2
Are there any clubs for students interested in exploring photography and editing?,Arts,2
Interested in joining a club that organizes art exhibitions and showcases student work.,Arts,2
Where can I find a club that offers workshops on acting and improvisation techniques?,Arts,2
"Looking for opportunities to collaborate with other students on film projects, any clubs?",Arts,2
"Interested in joining a choir or a cappella group, any auditions coming up?",Arts,2
Where can I find a club that offers advanced training in music production and composition?,Arts,2
Looking for a club that explores different styles of dance from around the world.,Arts,2
Are there any clubs for students interested in exploring traditional crafts and artisanal techniques?,Arts,2
Interested in joining a club that organizes spoken word poetry events and workshops.,Arts,2
Where can I find a club that offers advanced training in graphic design software?,Arts,2
Looking for opportunities to participate in art installations and public art projects.,Arts,2
Can you recommend any rock climbing gyms that offer classes focused on lead climbing?,Athletics,2
Hoping to find a college tennis league that's semi-competitive and accommodating to studies,Athletics,2
Interested in a collegiate disc golf league that's semi-competitive and open to college students,Athletics,2
I want to balance academics with basketball by joining a competitive intramural league,Athletics,2
Interested in joining a cycling group that does regular training rides. Nothing too intense though,Athletics,2
Looking to join a college rock climbing club that offers beginner-friendly sessions.,Athletics,2
Interested in participating in a college tennis league with a moderate level of competitiveness.,Athletics,2
Hoping to find a collegiate ultimate frisbee league that's semi-competitive and open to students.,Athletics,2
Want to join a college intramural basketball league that's competitive but not overly intense.,Athletics,2
Seeking a cycling group that organizes regular rides suitable for intermediate riders.,Athletics,2
"As a college student, I'm looking for a soccer club that balances competition with fun.",Athletics,2
I want to join a college swimming team with regular practices that fit into my schedule.,Athletics,2
"Interested in joining a college running club for regular group runs, nothing too demanding.",Athletics,2
Looking for a college volleyball league that's semi-competitive and accommodates class schedules.,Athletics,2
Hoping to find a college badminton club that's moderately competitive and meets regularly.,Athletics,2
I'm interested in joining a college rowing team with practices that allow for academic commitments.,Athletics,2
Seeking a college track and field team with a balanced approach to training and competitions.,Athletics,2
"Looking to join a college hiking club for regular outings, nothing too strenuous.",Athletics,2
Hoping to find a college golf league that's semi-competitive and suitable for student schedules.,Athletics,2
Interested in a college equestrian club with opportunities for riding and competitions.,Athletics,2
Want to join a college skiing or snowboarding club for regular trips to the slopes.,Athletics,2
I'm interested in joining a college martial arts club with a focus on technique and fitness.,Athletics,2
Seeking a college sailing team with practices that accommodate academic responsibilities.,Athletics,2
Looking to join a college frisbee golf league with regular tournaments and casual play.,Athletics,2
I want to join a college gymnastics club with sessions suitable for intermediate skill levels.,Athletics,2
I have been in a business club for a year in high school and would like to find some consulting opportunities.,Business,2
"I already have a foundation in finance, but I want to learn specifics, where should I go?",Business,2
I have started to invest through my brokerage account and would like to further my skills in this area.,Business,2
"I want to develop my networking skills within the business community, any clubs or events for networking?",Business,2
"I want to gain practical experience in project management, any opportunities available through clubs or internships?",Business,2
I have some experience in business clubs and now want to explore consulting opportunities.,Business,2
"Looking to deepen my understanding of finance, where can I find specific resources?",Business,2
"I've started investing and want to enhance my skills further, any recommendations?",Business,2
"Interested in improving my networking skills within the business community, any clubs or events?",Business,2
"I want to gain practical experience in project management, any opportunities available?",Business,2
Are there any business clubs that focus on case competitions or consulting projects?,Business,2
Looking for resources to enhance my knowledge of marketing strategies and techniques.,Business,2
Interested in joining a club that organizes workshops on entrepreneurship and startup ventures.,Business,2
Where can I find opportunities to learn about business analytics and data-driven decision making?,Business,2
"I want to deepen my understanding of supply chain management, any recommended resources?",Business,2
Are there any clubs or organizations that focus on business development and strategic planning?,Business,2
Looking for opportunities to gain hands-on experience in business negotiation and deal-making.,Business,2
Interested in joining a club that offers mentorship programs for aspiring business professionals.,Business,2
Where can I find opportunities to learn about corporate finance and investment banking?,Business,2
I want to explore opportunities for international business and global market analysis.,Business,2
Are there any clubs that focus on business ethics and corporate social responsibility?,Business,2
Looking for opportunities to learn about business law and regulations affecting industries.,Business,2
Interested in joining a club that organizes industry networking events and guest speaker sessions.,Business,2
Where can I find opportunities to develop my skills in business leadership and management?,Business,2
Looking for resources to enhance my understanding of business innovation and disruptive technologies.,Business,2
I want to explore Hindu spirituality. Are there meditation sessions or discussions on Hindu philosophy?,Culture,2
I want to join a club that celebrates Diwali and other South Asian festivals.,Culture,2
I'm interesting in participating in a club that celebrates Hispanic heritage month with cultural events.,Culture,2
I want to practice a language outside of class and would love to find a language partner program or conversation exchange with a native speaker.,Culture,2
I've been wanting to improve my Arabic calligraphy skills and would love to find a workshop or club focused on this art form.,Culture,2
"Interested in exploring Buddhist teachings, are there meditation sessions or discussions available?",Culture,2
I want to join a club that celebrates Chinese New Year and other East Asian festivals.,Culture,2
Looking to participate in a club that celebrates Black History Month with cultural events.,Culture,2
"I want to practice French outside of class, any language partner programs or conversation exchanges?",Culture,2
"I've been wanting to improve my Japanese tea ceremony skills, any workshops or clubs for this?",Culture,2
Are there any clubs that organize cultural cooking classes or food tasting events?,Culture,2
Interested in joining a club that celebrates LGBTQ+ pride with cultural events and discussions.,Culture,2
"I want to explore Indigenous culture, are there clubs or events focusing on Native American heritage?",Culture,2
"Looking for opportunities to learn about African drumming and dance, any workshops available?",Culture,2
I want to join a club that celebrates International Women's Day with cultural awareness events.,Culture,2
Interested in participating in a club that celebrates Hispanic heritage with cultural performances.,Culture,2
Looking to join a club that celebrates Korean culture with language exchange and K-pop events.,Culture,2
"I want to explore Irish heritage, are there clubs or events focusing on St. Patrick's Day?",Culture,2
Interested in joining a club that celebrates Native Hawaiian culture with hula dance and storytelling.,Culture,2
Looking to participate in a club that celebrates Filipino culture with traditional music and dance.,Culture,2
"I want to explore Middle Eastern culture, are there clubs or events focusing on Arabic traditions?",Culture,2
Interested in joining a club that celebrates Caribbean culture with reggae music and dancehall.,Culture,2
"Looking for opportunities to learn about Indian classical music and dance, any workshops available?",Culture,2
I want to join a club that celebrates Scottish culture with Highland games and traditional music.,Culture,2
Interested in participating in a club that celebrates Persian culture with Nowruz celebrations.,Culture,2
I want to participate in leadership development programs focused on public service and governance,Government,2
I'd like to engage in discussions about government policies and issues.,Government,2
I'm eager to join a club that collaborates with local government agencies on community projects,Government,2
I'm looking for leadership roles in campus clubs that focus on civic engagement and political advocacy,Government,2
Interested in a student government internship program that offers hands-on experience in policy making and government operations,Government,2
I want to join leadership development programs focusing on public service and governance.,Government,2
Interested in discussions about government policies and current issues.,Government,2
Looking to join a club that works with local government agencies on community projects.,Government,2
I'm seeking leadership roles in campus clubs dedicated to civic engagement and political advocacy.,Government,2
Interested in a student government internship program offering hands-on policy making experience.,Government,2
Are there opportunities to participate in town hall meetings and engage with local officials?,Government,2
Looking for clubs that organize debates and forums on political and social issues.,Government,2
I want to join a club that promotes voter registration and political participation.,Government,2
Interested in attending seminars and workshops on government transparency and accountability.,Government,2
Looking for opportunities to volunteer for political campaigns and grassroots organizing.,Government,2
I'm eager to participate in community service projects with a focus on government initiatives.,Government,2
Interested in joining a club that organizes lobbying efforts on behalf of student interests.,Government,2
Looking for clubs that offer training in public speaking and debate skills.,Government,2
I want to join a club that advocates for social justice and equity through government action.,Government,2
Interested in attending networking events with government professionals and policymakers.,Government,2
Looking for opportunities to shadow local government officials and learn about their work.,Government,2
I'm seeking leadership opportunities in campus organizations focused on government relations.,Government,2
Interested in joining a club that organizes community forums on government accountability.,Government,2
Looking for opportunities to participate in mock government simulations and model UN conferences.,Government,2
I want to join a club that organizes volunteer initiatives in partnership with government agencies.,Government,2
I'm interested in joining a club that focuses on professional ethics and leadership development,Professional,2
"I'm looking to get my career together and find a job, are there any job fairs going on soon?",Professional,2
Looking for a club that connects students interested in education with potential teaching opportunities,Professional,2
I'm looking for opportunities to shadow professionals in my field to learn about their work,Professional,2
Want to join a club that can help me get professional connections,Professional,2
I want to join a club focused on professional ethics and leadership development.,Professional,2
Looking for upcoming job fairs to explore career opportunities.,Professional,2
Interested in a club that connects students with teaching opportunities in education.,Professional,2
Seeking opportunities to shadow professionals in my field and learn from their experiences.,Professional,2
Want to join a club that facilitates professional networking and connections.,Professional,2
Are there workshops available to improve professional communication and presentation skills?,Professional,2
Looking for resume writing workshops and interview preparation sessions.,Professional,2
I want to join a club that offers mentorship programs for career development.,Professional,2
Interested in attending career panels and industry-specific networking events.,Professional,2
Looking for opportunities to participate in industry conferences and seminars.,Professional,2
I want to join a club that organizes company visits and industry tours.,Professional,2
Interested in joining a professional organization related to my field of study.,Professional,2
Looking for opportunities to participate in career exploration workshops and panels.,Professional,2
I'm seeking opportunities for internships or co-op programs in my field.,Professional,2
Interested in joining a club that offers opportunities for job shadowing and internships.,Professional,2
Looking for opportunities to volunteer in professional organizations or industry associations.,Professional,2
I want to join a club that organizes networking mixers and industry meetups.,Professional,2
Interested in joining a club that offers opportunities for professional development and skill-building.,Professional,2
Looking for opportunities to participate in industry-specific hackathons and competitions.,Professional,2
Are there clubs that offer workshops on personal branding and online professional presence?,Professional,2
Hoping to connect with fellow students who share my religious beliefs.,Religion,2
Exploring options for attending religious services on campus.,Religion,2
"I want to deepen my understanding of Judaism, are there any study circles or groups?",Religion,2
"I'm interested in joining a group that explores the intersection of faith and social justice, any suggestions?",Religion,2
"I'm looking for a Christian Bible study group to join on campus, any recommendations?",Religion,2
Hoping to join a club for students sharing similar religious beliefs.,Religion,2
Exploring options for attending regular religious services on campus.,Religion,2
"I want to deepen my understanding of Islam, are there any study circles or groups?",Religion,2
Interested in joining a group that explores the connection between faith and social justice.,Religion,2
"I'm looking for a Hindu scripture study group to join on campus, any recommendations?",Religion,2
Are there clubs that organize interfaith dialogues and discussions on campus?,Religion,2
Exploring opportunities to participate in religious retreats or spiritual gatherings.,Religion,2
"I want to deepen my understanding of Buddhism, are there any meditation groups?",Religion,2
Interested in joining a group that organizes community service projects based on religious values.,Religion,2
"Looking for a Sikh prayer group to join on campus, any recommendations?",Religion,2
Are there clubs that organize religious study trips or pilgrimages?,Religion,2
"I want to explore different forms of Christian worship, are there any church groups?",Religion,2
Interested in joining a group that organizes charity events based on religious teachings.,Religion,2
Looking for opportunities to participate in religious festivals and celebrations on campus.,Religion,2
"I want to deepen my understanding of Hinduism, are there any discussion groups?",Religion,2
Interested in joining a group that organizes prayer meetings and spiritual gatherings.,Religion,2
"Looking for a Jewish study group to join on campus, any recommendations?",Religion,2
Are there clubs that organize volunteering opportunities with religious organizations?,Religion,2
"I want to explore different forms of Buddhist meditation, are there any meditation groups?",Religion,2
Interested in joining a group that offers support and fellowship for students of all faiths.,Religion,2
I want to find service organizations where I can contribute my skills and make a positive impact in the community.,Service,2
I'm interested in joining service organizations that provide ample opportunities for volunteering alongside other students.,Service,2
I'm looking for service organizations that offer a range of volunteer opportunities to accommodate different interests.,Service,2
In search of campus workshops on community development and outreach.,Service,2
Seeking opportunities to mentor other students in their coursework.,Service,2
I want to join service organizations to contribute my skills and make a positive impact.,Service,2
Interested in volunteering opportunities with other students in service organizations.,Service,2
Looking for service organizations offering diverse volunteer opportunities.,Service,2
In search of campus workshops focusing on community development and outreach.,Service,2
Seeking opportunities to mentor students in their coursework within service organizations.,Service,2
Interested in joining service organizations that focus on environmental conservation efforts.,Service,2
Looking for service organizations that provide volunteer opportunities during weekends.,Service,2
I want to join service organizations that focus on serving underprivileged communities.,Service,2
Interested in participating in service organizations that collaborate with local charities.,Service,2
Seeking opportunities to volunteer in service organizations that focus on animal welfare.,Service,2
Looking for service organizations that organize volunteer trips during school breaks.,Service,2
I want to join service organizations that focus on disaster relief and emergency response.,Service,2
Interested in volunteering with service organizations that support youth education programs.,Service,2
Looking for service organizations that offer virtual volunteering opportunities.,Service,2
I want to join service organizations that focus on food insecurity and hunger relief efforts.,Service,2
Interested in participating in service organizations that provide healthcare assistance to underserved populations.,Service,2
Looking for service organizations that offer opportunities for international volunteer projects.,Service,2
I want to join service organizations that focus on environmental sustainability projects.,Service,2
Interested in volunteering with service organizations that focus on elderly care and support.,Service,2
Looking for service organizations that offer opportunities for mentorship and leadership development.,Service,2
"Want to rush a frat, nothing too intense though. ",Social,2
"Want to join a sorority, nothing too intense however ",Social,2
Want to play on a casual competative gaming league,Social,2
"Any clubs where I can eat and have fun with others, that meet semi-regularly, pretty often but nothing too intense",Social,2
Looking to meet new people and make some friends,Social,2
"Interested in rushing a fraternity, seeking a moderate level of involvement.",Social,2
"Considering joining a sorority, looking for a balanced level of engagement.",Social,2
Want to participate in a casual competitive gaming league.,Social,2
